  PID TTY      STAT   TIME COMMAND
 7638 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3787015304376800110,10434573059236280974,131072 --service-pipe-token=9053232827680283718 --lang=ru --enable-crash-reporter=ce260909-7f7b-494b-8ae2-2770daac7afb, --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=9053232827680283718 --renderer-client-id=99 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 7858 ?        Sl     0:03 /usr/bin/nemo /home/Sysoi123u/pmvs/lab1
 8061 pts/0    T      0:00 git push origin
 8062 pts/0    T      0:00 git-remote-https origin https://github.com/fpmibsu-pmvs/pmvs-labrabota1-gruppa12-isysoi3.git
 9251 ?        Sl     0:05 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3787015304376800110,10434573059236280974,131072 --service-pipe-token=3149991563210338680 --lang=ru --enable-crash-reporter=ce260909-7f7b-494b-8ae2-2770daac7afb, --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=3149991563210338680 --renderer-client-id=108 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 9851 ?        S      0:00 [kworker/2:0]
10021 ?        S      0:00 [kworker/0:1]
10033 pts/1    Ss+    0:00 bash
10379 ?        S      0:00 [kworker/1:0]
10444 ?        S      0:00 [kworker/2:2]
10493 ?        S      0:00 [kworker/3:1]
10567 ?        S      0:00 [kworker/u8:1]
10678 ?        S      0:00 [kworker/3:2]
10757 pts/0    S+     0:00 sudo script ps_log.txt
10758 pts/0    S+     0:00 script ps_log.txt
10759 pts/3    Ss     0:00 bash -i
10775 pts/3    S      0:00 su Sysoi123u
10783 pts/3    S      0:00 bash
10830 ?        S      0:00 [kworker/u8:0]
10923 ?        S      0:00 [kworker/1:2]
10935 ?        S      0:00 [kworker/u8:2]
10964 ?        Sl     0:04 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3787015304376800110,10434573059236280974,131072 --service-pipe-token=2816092132196132528 --lang=ru --enable-crash-reporter=ce260909-7f7b-494b-8ae2-2770daac7afb, --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2816092132196132528 --renderer-client-id=149 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
10981 ?        S      0:00 [kworker/0:2]
10982 ?        S      0:00 [kworker/0:3]
11002 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3787015304376800110,10434573059236280974,131072 --service-pipe-token=16742437553971268147 --lang=ru --enable-crash-reporter=ce260909-7f7b-494b-8ae2-2770daac7afb, --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16742437553971268147 --renderer-client-id=151 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
11016 ?        S      0:00 [kworker/3:0]
11040 pts/3    S      0:00 su
11048 pts/3    S      0:00 bash
11082 pts/3    S+     0:00 sudo ps ax
11083 pts/3    R+     0:00 ps ax
